period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,volume,duplicate_no,row_number
Fiscal Year,0,2003,0,"",0,2003-01-01,Alaska Offshore,AKR,"","","",Federal,Offshore,Federal Offshore,Offshore,Area,Alaska Offshore,Oil,Oil (bbl),3626044,0,2
Fiscal Year,0,2003,0,"",0,2003-01-01,Alaska Offshore,AKR,"","","",Federal,Offshore,Federal Offshore,Offshore,Area,Alaska Offshore,Gas,Gas (mcf),11455234,0,3
Fiscal Year,0,2003,0,"",0,2003-01-01,Gull of Mexico,GMR,"","","",Federal,Offshore,Federal Offshore,Offshore,Area,Offshore Gulf,Oil,Oil (bbl),555614297,0,4
Fiscal Year,0,2003,0,"",0,2003-01-01,Gull of Mexico,GMR,"","","",Federal,Offshore,Federal Offshore,Offshore,Area,Offshore Gulf,Gas,Gas (mcf),4432757167,0,5
Fiscal Year,0,2003,0,"",0,2003-01-01,Pacific,POR,"","","",Federal,Offshore,Federal Offshore,Offshore,Area,Pacific,Oil,Oil (bbl),30685447,0,6
Fiscal Year,0,2003,0,"",0,2003-01-01,Pacific,POR,"","","",Federal,Offshore,Federal Offshore,Offshore,Area,Pacific,Gas,Gas (mcf),62738248,0,7
Fiscal Year,0,2003,0,"",0,2003-01-01,"Louisiana, Central Gulf of Mexico",,LA,Louisiana,Central Gulf of Mexico,Federal,Offshore,Federal Offshore,County,Parish,"",Salt,Salt (tons),24551,0,8
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alaska, Kenai Peninsula",02122,AK,Alaska,Kenai Peninsula,Federal,Onshore,Federal Onshore,County,Borough,"",Oil,Oil (bbl),525460,0,9
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alaska, Kenai Peninsula",02122,AK,Alaska,Kenai Peninsula,Federal,Onshore,Federal Onshore,County,Borough,"",Gas,Gas (mcf),52586893,0,10
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Baldwin",01003,AL,Alabama,Baldwin,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),9,0,11
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Baldwin",01003,AL,Alabama,Baldwin,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),91425,0,12
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Bibb",01007,AL,Alabama,Bibb,Federal,Onshore,Federal Onshore,County,County,"",Clay,Clay (tons),58434,0,13
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Choctaw",01023,AL,Alabama,Choctaw,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),110,0,14
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Covington",01039,AL,Alabama,Covington,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),287414,0,15
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Escambia",01053,AL,Alabama,Escambia,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),2387,0,16
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Escambia",01053,AL,Alabama,Escambia,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),18004,0,17
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Fayette",01057,AL,Alabama,Fayette,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),4770,0,18
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Lamar",01075,AL,Alabama,Lamar,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),1882,0,19
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Lamar",01075,AL,Alabama,Lamar,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),4381,0,20
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Mobile",01097,AL,Alabama,Mobile,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),6599,0,21
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Mobile",01097,AL,Alabama,Mobile,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),41000152,0,22
Fiscal Year,0,2003,0,"",0,2003-01-01,"Alabama, Tuscaloosa",01125,AL,Alabama,Tuscaloosa,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),636888,0,23
