Payor Name,Corporate Name
31 OFFSHORE LLC,31 GROUP LLC
31 OPERATING LLC,31 GROUP LLC
8 NORTH LLC,EXTRACTION OIL & GAS LLC
ABRAXAS PETROLEUM CORPORATION,ABRAXAS PETROLEUM CORP
ADPARO LLC,ADPARO LLC
ADVANCE ENERGY PARTNERS HAT MESA LLC,ADVANCE ENERGY PARTNERS
ADVANCE WIRELESS COMMUNICATIONS LLC,ADVANCED WIRELESS COMMUNICATIONSLLC
ADVANTAGE RESOURCES INC,ADVANTAGE RESOURCES INC
AERA ENERGY LLC,AERA ENERGY LLC
AETHON ENERGY OPERATING LLC,AETHON ENERGY MANGEMENT LLC
AGC SODA,AMERICAN SODA LLC
AGUA CALIENTE LLC,AGUA CALIENTE LLC
ALAMO-PALACE MP 59 LLC,ALAMO-PALACE MP 59 LLC
ALASKA INDUSTRIAL DEVELOPMENT,ALASKA INDUSTRIAL DEVELOPMENT
ALTAMONT ENERGY OPERATING LLC,ALTAMONT ENERGY LLC
ALTON COAL DEVELOPMENT LLC,ALTON COAL DEVELOPMENT LLC
AMALGAMATED SLUDGE NM LLC,AMALGAMATED SLUDGE NM LLC
AMEREDEV OPERATING LLC,AMEREDEV II LLC
AMERICAN GILSONITE COMPANY,AMERICAN GILSONITE CO
AMERICO ENERGY RESOURCES,AMERICO ENERGY RESOURCES LLC
AMP RESOURCES STILLWATER,ENEL SPA
AMPLIFY ENERGY OPERATING LLC,AMPLIFY ENERGY CORP
ANADARKO E&P ONSHORE LLC,OCCIDENTAL PETROLEUM CORP
ANADARKO MINERALS INC,OCCIDENTAL PETROLEUM CORP
ANADARKO PETROLEUM CORP,OCCIDENTAL PETROLEUM CORP
ANADARKO US OFFSHORE CORPORATION,OCCIDENTAL PETROLEUM CORP
ANDERSON OIL LTD,ANDERSON OIL LTD
ANKOR ENERGY LLC,ANKOR E & P HOLDINGS INC
ANSCHUTZ CORPORATION,THE ANSCHUTZ CORP
ANTELOPE COAL - NTEC,NAVAJO TRANSITIONAL ENERGY CO
ANTELOPE ENERGY COMPANYLLC,ANTELOPE ENERGY CO LLC
ANTLER ENERGY LLC,ANTLER ENERGY LLC
APACHE CORPORATION,APA CORP
APACHE DEEPWATER LLC,APA CORP
APEX OIL & GASINC,APEX OIL & GAS INC
APEX OIL VENTURES,APEX OIL & GAS INC
ARB ENERGY UTAH LLC,ARB ENERGY UTAH LLC
ARENA ENERGY LP,ARENA ENERGY
ARENA OFFSHORE LP,ARENA ENERGY
ARGALI EXPLORATION COMPANY,ARGALI EXPLORATION CO
ARGENT ENERGY US HOLDINGS INC,ARGENT ENERGY US HOLDINGS INC
ARGUS ENERGY WV LLC,ARGUS ENERGY WV LLC
ARM ENERGY MANAGEMENT LLC,ARM ENERGY MANAGEMENT LLC
ARMSTRONG CORP,ARMSTRONG ENERGY CORP
ARMSTRONG ENERGY CORPORATION,ARMSTRONG ENERGY CORP
ARNELL OIL COMPANY,ARNELL OIL CO
ASCENT ENERGY LLC,ASCENT ENERGY LLC
ASPECT HOLDINGS LLC,ASPECT HOLDINGS LLC
ATLANTIC SHORES OFFSHORE WIND BIGHT LLC,ROYAL DUTCH SHELL PLC
ATLANTIC SHORES OFFSHORE WIND LLC,ROYAL DUTCH SHELL PLC
ATOMIC OIL & GAS LLC,ATOMIC OIL & GAS LLC
