Fields,Definitions
Fiscal Year,"The year the disbursement occurred. The federal fiscal year runs from October 1 of the prior year through September 30 of the year being described. For example, Fiscal Year 2018 is between October 1, 2017, and September 30, 2018."
Fund Type,The type of recipient receiving the disbursement.
U.S. Treasury,"Funds disbursed to the Treasury go to the General Fund, which is the federal government’s basic operating fund. The General Fund pays for roughly two-thirds of all federal expenditures, including the U.S. military, national parks, and schools."
U.S. Treasury GoMESA,The Gulf of Mexico Energy Security Act (GOMESA) of 2006 specifies that 50% of revenues from certain gulf leases be directed to the U.S. Treasury.
American Indian Tribes,"ONRR disburses 100% of revenue collected from resource extraction on Native American lands back to Native American tribes, nations, and individuals."
Land and Water Conservation Fund,This fund provides matching grants to states and local governments to buy and develop public outdoor recreation areas across the 50 states.
Land and Water Conservation Fund GoMESA,"The Gulf of Mexico Energy Security Act (GOMESA) of 2006 specifies that 12.5% of revenues from certain gulf leases be directed to the LWCF stateside program. States can receive up to $125 million a year in funding. This portion of LWCF funds is not subject to the congressional appropriation process, but are otherwise treated similarly to regular LWCF funds."
Historic Preservation Fund,This fund helps preserve U.S. historical and archaeological sites and cultural heritage through grants to state and tribal historic preservation offices.
Reclamation Fund,"Established by Congress in 1902 to pay for Bureau of Reclamation projects, this fund supports the establishment of critical infrastructure projects like dams and power plants."
State,"Funds disbursed to states fall under the jurisdiction of each state, and each state determines how the funds will be used."
State 8(g),27% of revenue from leases in the 8(g) Zone (the first three nautical miles of the Outer Continental Shelf) are shared with states.
State GoMESA,"37.5% of revenue from certain leases in the Gulf of Mexico are shared with Alabama, Louisiana, Mississippi, and Texas."
Other,"Certain funds are directed back to the federal agencies that administer these lands (e.g., BLM, U.S. Fish and Wildlife Service, and U.S. Forest Service) to help cover the agencies’ operational costs. The Ultra-Deepwater Research Program and the Mescal Settlement Agreement also receive $50 million each."
Onshore/Offshore,Whether the origin of the revenue being disbursed is offshore or onshore.
State,The state that received the disbursement in accordance with revenue-sharing legislation.
County,The county that received the disbursement in accordance with revenue-sharing legislation.
Total,The total amount disbursed.
