Month,Calendar Year,Fund Type,Treasury Fund,Land Category,Disbursement Type,State,County,Commodity,Category,Disbursement
April,2024,BLM - Permit Processing and Improvement,,Onshore,,,,Coal,Rents & Bonuses,"82,948.50"
April,2024,BLM - Permit Processing and Improvement,,Onshore,,,,Gilsonite,Rents & Bonuses,119.5
April,2024,BLM - Permit Processing and Improvement,,Onshore,,,,Oil & Gas,Rents & Bonuses,"269,405.60"
April,2024,BLM - Permit Processing and Improvement,,Onshore,,,,Phosphate,Rents & Bonuses,"1,138.50"
April,2024,BLM - Permit Processing and Improvement,,Onshore,,,,Potassium,Rents & Bonuses,"-10,672.85"
April,2024,BLM - Permit Processing and Improvement,,Onshore,,,,Sodium,Rents & Bonuses,-10
April,2024,Bureau of Land Management,,Onshore,,,,Gas,Royalties,"14,773.42"
April,2024,Bureau of Land Management,,Onshore,,,,Oil,Royalties,"64,847.77"
April,2024,Bureau of Land Management,,Onshore,,,,Oil & Gas,Other Distributions,"89,381.97"
April,2024,Bureau of Land Management,,Onshore,,,,Oil & Gas,Rents & Bonuses,"3,284.00"
April,2024,Bureau of Land Management,,Onshore,,,,Oil & Gas,Royalties,5.92
April,2024,Bureau of Ocean Energy Management,,Offshore,,,,Oil & Gas,Rents & Bonuses,"3,424,505.62"
April,2024,Bureau of Safety & Environmental Enforcement,,Offshore,,,,,Other Distributions,"3,142,877.02"
April,2024,Bureau of Safety & Environmental Enforcement,,Offshore,,,,Oil & Gas,Rents & Bonuses,"1,467,665.05"
April,2024,Fish & Wildlife,,Onshore,,,,Gas,Royalties,"10,305.71"
April,2024,Fish & Wildlife,,Onshore,,,,Oil,Royalties,"60,403.53"
April,2024,Fish & Wildlife,,Onshore,,,,Oil & Gas,Other Distributions,175.67
April,2024,Fish & Wildlife,,Onshore,,,,Oil & Gas,Royalties,4.41
April,2024,Forest Service,,Onshore,,,,Coal,Other Distributions,10.56
April,2024,Forest Service,,Onshore,,,,Coal,Royalties,"36,072.10"
April,2024,Forest Service,,Onshore,,,,Copper,Royalties,"11,144.86"
April,2024,Forest Service,,Onshore,,,,Gas,Royalties,"3,437,629.36"
April,2024,Forest Service,,Onshore,,,,Hardrock,Other Distributions,"1,284.00"
