Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,70 & 148 LLC,BLM - Permit Fees,Oil & Gas,1870
2013,70 & 148 LLC,ONRR/BLM - Rents,Oil & Gas,310220
2013,A & G COAL CORP,OSMRE - AML Fees including Audits and Late Charges ,Coal,119617.76
2013,ABRAXAS PETROLEUM CORP,BLM - Permit Fees,Oil & Gas,290
2013,ABRAXAS PETROLEUM CORP,ONRR - Other Revenues,Oil & Gas,18631.6
2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,Gas,55520.8
2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,Oil,935018.79
2013,ABRAXAS PETROLEUM CORP,ONRR/BLM - Rents,Oil & Gas,3954.5
2013,ADVENTURE EXPLORATION PARTNERS II LLC,BLM - Permit Fees,Oil & Gas,6755
2013,ADVENTURE EXPLORATION PARTNERS II LLC,ONRR/BLM - Bonus,Oil & Gas,2556000
2013,ADVENTURE EXPLORATION PARTNERS II LLC,ONRR/BLM - Rents,Oil & Gas,4598.5
2013,AERA ENERGY LLC,BLM - Permit Fees,Oil & Gas,169085
2013,AERA ENERGY LLC,ONRR - Other Revenues,Oil & Gas,2004.69
2013,AERA ENERGY LLC,ONRR - Royalties,Gas,49926.21
2013,AERA ENERGY LLC,ONRR - Royalties,Oil,38137065.01
2013,AERA ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,11358
2013,AGC SODA CORP,ONRR - Royalties,Other Commodities,1849208.69
2013,AGNICO EAGLE USA LTD,BLM - Permit Fees,Locatable Minerals,180799
2013,AGRI PROPERTIES LLP,BLM - Permit Fees,Oil & Gas,450
2013,AGRI PROPERTIES LLP,ONRR/BLM - Bonus,Oil & Gas,1232000
2013,AGRI PROPERTIES LLP,ONRR/BLM - Rents,Oil & Gas,156
2013,ALAMO-PALACE MP 59 LLC,BLM - Permit Fees,Oil & Gas,39000
2013,ALAMO-PALACE MP 59 LLC,ONRR - Other Revenues,Oil & Gas,6263.01
2013,ALAMO-PALACE MP 59 LLC,ONRR - Royalties,Oil,6045914.35
2013,ALLIED VNC INC,BLM - Permit Fees,Locatable Minerals,201344
2013,ALPHA NATURAL RESOURCES INC,BLM - Permit Fees,Mineral Materials,50749.38
2013,ALPHA NATURAL RESOURCES INC,ONRR - Royalties,Coal,29672103.26
2013,ALPHA NATURAL RESOURCES INC,ONRR/BLM - Bonus,Coal,42129612
2013,ALPHA NATURAL RESOURCES INC,ONRR/BLM - Rents,Coal,38796
