Fiscal Year,Land Class,Land Category,State,County,FIPS Code,Offshore Region,Product, Volume 
2003,Federal,Offshore,,,,Offshore Alaska,Gas (Mcf)," 11,455,233 "
2003,Federal,Offshore,,,,Offshore Alaska,Oil (bbl)," 3,626,044 "
2003,Federal,Offshore,,,,Offshore Gulf of America,Gas (Mcf)," 4,430,880,758 "
2003,Federal,Offshore,,,,Offshore Gulf of America,Oil (bbl)," 555,596,999 "
2003,Federal,Offshore,,,,Offshore Gulf of America,Salt," 24,551 "
2003,Federal,Offshore,,,,Offshore Pacific,Gas (Mcf)," 62,738,244 "
2003,Federal,Offshore,,,,Offshore Pacific,Oil (bbl)," 30,685,447 "
2003,Federal,Onshore,AK,Kenai (Post),02122,,Gas (Mcf)," 38,996,283 "
2003,Federal,Onshore,AK,Kenai (Post),02122,,Oil (bbl)," 525,460 "
2003,Federal,Onshore,AK,Tyonek,02122,,Gas (Mcf)," 13,590,614 "
2003,Federal,Onshore,AL,Baldwin,01003,,Gas (Mcf)," 91,424 "
2003,Federal,Onshore,AL,Baldwin,01003,,Oil (bbl), 9 
2003,Federal,Onshore,AL,Bibb,01007,,Clay," 58,434 "
2003,Federal,Onshore,AL,Choctaw,01023,,Oil (bbl), 110 
2003,Federal,Onshore,AL,Covington,01039,,Oil (bbl)," 287,413 "
2003,Federal,Onshore,AL,Escambia,01053,,Gas (Mcf)," 2,388 "
2003,Federal,Onshore,AL,Escambia,01053,,Oil (bbl)," 18,003 "
2003,Federal,Onshore,AL,Fayette,01057,,Gas (Mcf)," 4,772 "
2003,Federal,Onshore,AL,Lamar,01075,,Gas (Mcf)," 4,380 "
2003,Federal,Onshore,AL,Lamar,01075,,Oil (bbl)," 1,883 "
2003,Federal,Onshore,AL,Mobile,01097,,Gas (Mcf), 658 
2003,Federal,Onshore,AL,Mobile,01097,,Oil (bbl)," 6,591 "
2003,Federal,Onshore,AL,Mobile Offshore,01097,,Gas (Mcf)," 40,999,493 "
2003,Federal,Onshore,AL,Mobile Offshore,01097,,Oil (bbl), 9 
2003,Federal,Onshore,AL,Tuscaloosa,01125,,Gas (Mcf)," 636,884 "
2003,Federal,Onshore,AR,Columbia,05027,,Gas (Mcf)," 9,269 "
2003,Federal,Onshore,AR,Columbia,05027,,Oil (bbl), 123 
2003,Federal,Onshore,AR,Crawford,05033,,Gas (Mcf)," 133,032 "
2003,Federal,Onshore,AR,Franklin,05047,,Gas (Mcf)," 344,186 "
2003,Federal,Onshore,AR,Johnson,05071,,Gas (Mcf)," 943,990 "
2003,Federal,Onshore,AR,Logan,05083,,Gas (Mcf)," 173,479 "
2003,Federal,Onshore,AR,Montgomery,05097,,Quartz Crystal," 1,928 "
2003,Federal,Onshore,AR,Pope,05115,,Gas (Mcf)," 27,214 "
2003,Federal,Onshore,AR,Sebastian,05131,,Gas (Mcf)," 4,705,816 "
2003,Federal,Onshore,AR,Sharp,05135,,Gas (Mcf)," 38,889 "
2003,Federal,Onshore,AR,Yell,05149,,Gas (Mcf)," 295,912 "
2003,Federal,Onshore,CA,Contra Costa,06013,,Gas (Mcf)," 1,011 "
2003,Federal,Onshore,CA,Fresno,06019,,Gas (Mcf)," 708,106 "
2003,Federal,Onshore,CA,Fresno,06019,,Oil (bbl)," 45,758 "
2003,Federal,Onshore,CA,Glenn,06021,,Gas (Mcf)," 12,704 "
2003,Federal,Onshore,CA,Imperial,06025,,"Geothermal - Electrical Generation, Kilowatt Hours"," 375,672,000 "
2003,Federal,Onshore,CA,Imperial,06025,,"Geothermal - Electrical Generation, Other"," 210,150 "
2003,Federal,Onshore,CA,Inyo,06027,,"Geothermal - Electrical Generation, Kilowatt Hours"," 577,935,285 "
2003,Federal,Onshore,CA,Kern,06029,,Gas (Mcf)," 1,548,611 "
2003,Federal,Onshore,CA,Kern,06029,,Oil (bbl)," 14,497,235 "
2003,Federal,Onshore,CA,Kings,06031,,Gas (Mcf)," 158,559 "
2003,Federal,Onshore,CA,Kings,06031,,Oil (bbl)," 31,976 "
2003,Federal,Onshore,CA,Lake,06033,,"Geothermal - Electrical Generation, Thousands of Pounds"," 23,398,882 "
2003,Federal,Onshore,CA,Lassen,06035,,"Geothermal - Direct Utilization, Millions of BTUs"," 275,711 "
2003,Federal,Onshore,CA,Los Angeles,06037,,Gas (Mcf)," 128,593 "
2003,Federal,Onshore,CA,Los Angeles,06037,,Oil (bbl)," 716,024 "
2003,Federal,Onshore,CA,Mono,06051,,"Geothermal - Electrical Generation, Kilowatt Hours"," 105,039,825 "
2003,Federal,Onshore,CA,Monterey,06053,,Gas (Mcf)," 1,510 "
2003,Federal,Onshore,CA,Monterey,06053,,Oil (bbl)," 5,235 "
