Production Date,Land Class,Land Category,Commodity,Volume
01/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"128,828,789"
01/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"43,030,510"
01/01/2013,Federal,Onshore,Coal Prod Vol (ton),"33,492,410"
01/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"297,231,440"
01/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,019,338"
01/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,414,729"
01/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"24,745,997"
01/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"3,563,730"
02/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"113,767,791"
02/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"38,448,062"
02/01/2013,Federal,Onshore,Coal Prod Vol (ton),"30,481,388"
02/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"274,040,901"
02/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"10,175,179"
02/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,722,483"
02/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"23,509,531"
02/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"3,518,344"
03/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"123,165,425"
03/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"40,558,883"
03/01/2013,Federal,Onshore,Coal Prod Vol (ton),"31,554,258"
03/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"303,451,338"
03/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,515,959"
03/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,601,392"
03/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"26,522,040"
03/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,201,512"
04/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"120,833,610"
04/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"41,775,088"
04/01/2013,Federal,Onshore,Coal Prod Vol (ton),"30,641,951"
04/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"295,188,557"
04/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,286,818"
04/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,775,937"
04/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"25,995,424"
04/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,039,444"
05/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"118,972,733"
05/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"38,906,651"
05/01/2013,Federal,Onshore,Coal Prod Vol (ton),"32,892,522"
05/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"297,801,133"
05/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,536,301"
05/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,231,695"
05/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"26,667,608"
05/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,248,472"
06/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"109,160,091"
06/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"35,322,200"
06/01/2013,Federal,Onshore,Coal Prod Vol (ton),"32,945,999"
06/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"289,846,661"
06/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,267,878"
06/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,464,335"
06/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"26,209,826"
06/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,177,903"
07/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"114,719,325"
07/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"40,238,209"
07/01/2013,Federal,Onshore,Coal Prod Vol (ton),"35,878,382"
07/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"298,373,463"
07/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,777,411"
07/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,548,969"
07/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"27,451,251"
07/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,627,960"
08/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"109,136,315"
08/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"38,444,750"
08/01/2013,Federal,Onshore,Coal Prod Vol (ton),"36,459,087"
08/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"298,469,231"
08/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,820,668"
08/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,719,610"
08/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"27,250,691"
08/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,914,704"
09/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"113,630,915"
09/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"41,195,387"
09/01/2013,Federal,Onshore,Coal Prod Vol (ton),"35,116,078"
09/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"276,756,609"
09/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,543,909"
09/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,632,862"
09/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"26,371,862"
09/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,747,226"
10/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"107,193,917"
10/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"38,063,930"
10/01/2013,Federal,Onshore,Coal Prod Vol (ton),"32,376,034"
10/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"304,179,927"
10/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"12,006,842"
10/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,750,278"
10/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"27,558,553"
10/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,971,237"
