Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
1/1/2003,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,($0.01)
1/1/2003,Federal,Offshore,,,,ALASKA OCS,Rents,Oil & Gas,Oil & Gas,,"$212,680.00"
1/1/2003,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,"$989,821.68"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Bonus,Oil & Gas,Oil & Gas,,"$406,385,243.80"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas (mcf),$1.26
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Fuel Gas,"$3,789.87"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Gas Lost - Flared or Vented,$64.25
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$53,309.66"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$15,573.19"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$3,311.89"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate (bbl),"$56,089.52"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate (bbl),$432.53
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber (bbl),$7.36
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,"$584,159.49"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,"$4,039,663.25"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,"$17,501,790.31"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Flash Gas (mcf),"($210,022.62)"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Fuel Gas,"$480,840.62"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$14,524.26"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$95,833,563.16"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$122,869,506.37"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,NGL,Gas Plant Products,"$8,311,023.23"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Condensate (bbl),"$16,640,036.68"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate (bbl),"$480,366.34"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Inlet Scrubber (bbl),"$15,192.65"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Oil,"$95,236,110.59"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,"$2,354.45"
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Sodium,Salt,$101.70
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Sulfur,Sulfur,"$2,033.50"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Other Revenues,Oil & Gas,Oil,Oil,"($799,329.48)"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Other Revenues,Oil & Gas,Oil & Gas,,"$16,137.38"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Rents,Oil & Gas,Oil & Gas,,$315.00
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Fuel Gas,"$1,428.25"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$1,898,064.46"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$261,753.35"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,NGL,Gas Plant Products,"$69,225.36"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Condensate (bbl),"$3,374.78"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate (bbl),"$42,310.45"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Oil,"$12,821,288.96"
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Sulfur,Sulfur,$500.58
1/1/2003,Federal,Onshore,AK,Harrison Bay,02185,ALASKA,Bonus,Oil & Gas,Oil & Gas,,"$4,522,345.00"
