Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
1/1/2003,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,-0.01
1/1/2003,Federal,Offshore,,,,ALASKA OCS,Rents,Oil & Gas,Oil & Gas,,212680
1/1/2003,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,989821.68
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Bonus,Oil & Gas,Oil & Gas,,406385243.8
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas (mcf),1.26
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Fuel Gas,3789.87
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Gas Lost - Flared or Vented,64.25
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,53309.66
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,15573.19
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,3311.89
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate (bbl),56089.52
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate (bbl),432.53
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber (bbl),7.36
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,584159.49
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,4039663.25
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,17501790.31
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Flash Gas (mcf),-210022.62
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Fuel Gas,480840.62
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,14524.26
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,95833563.16
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,122869506.37
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,NGL,Gas Plant Products,8311023.23
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Condensate (bbl),16640036.68
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate (bbl),480366.34
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Inlet Scrubber (bbl),15192.65
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Oil,95236110.59
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,2354.45
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Sodium,Salt,101.7
1/1/2003,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Sulfur,Sulfur,2033.5
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Other Revenues,Oil & Gas,Oil,Oil,-799329.48
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Other Revenues,Oil & Gas,Oil & Gas,,16137.38
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Rents,Oil & Gas,Oil & Gas,,315
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Fuel Gas,1428.25
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,1898064.46
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,261753.35
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,NGL,Gas Plant Products,69225.36
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Condensate (bbl),3374.78
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate (bbl),42310.45
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Oil,12821288.96
1/1/2003,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Sulfur,Sulfur,500.58
1/1/2003,Federal,Onshore,AK,Harrison Bay,2185,ALASKA,Bonus,Oil & Gas,Oil & Gas,,4522345
1/1/2003,Federal,Onshore,AK,Harrison Bay,2185,ALASKA,Rents,Oil & Gas,Oil & Gas,,475879
1/1/2003,Federal,Onshore,AK,Ikpikpuk Riv,2185,ALASKA,Bonus,Oil & Gas,Oil & Gas,,2379480
1/1/2003,Federal,Onshore,AK,Ikpikpuk Riv,2185,ALASKA,Rents,Oil & Gas,Oil & Gas,,222688.5
1/1/2003,Federal,Onshore,AK,Kenai (Pre),2122,ALASKA,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,13233.2
1/1/2003,Federal,Onshore,AK,Kenai (Pre),2122,ALASKA,Rents,Oil & Gas,Oil & Gas,,331.07
1/1/2003,Federal,Onshore,AK,Kenai (Pre),2122,ALASKA,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,666054.9
1/1/2003,Federal,Onshore,AK,Kenai (Pre),2122,ALASKA,Royalties,Oil & Gas,NGL,Gas Plant Products,34189.72
1/1/2003,Federal,Onshore,AK,Kenai (Pre),2122,ALASKA,Royalties,Oil & Gas,Oil,Oil,69798.03
1/1/2003,Federal,Onshore,AK,Naknek,2185,ALASKA,Bonus,Oil & Gas,Oil & Gas,,11898946
1/1/2003,Federal,Onshore,AK,Naknek,2185,ALASKA,Rents,Oil & Gas,Oil & Gas,,576028
1/1/2003,Federal,Onshore,AK,Teshekpuk,2185,ALASKA,Bonus,Oil & Gas,Oil & Gas,,44669235
1/1/2003,Federal,Onshore,AK,Teshekpuk,2185,ALASKA,Rents,Oil & Gas,Oil & Gas,,538787.5
1/1/2003,Federal,Onshore,AK,Umiat,2185,ALASKA,Bonus,Oil & Gas,Oil & Gas,,341490
1/1/2003,Federal,Onshore,AK,Umiat,2185,ALASKA,Rents,Oil & Gas,Oil & Gas,,120360
1/1/2003,Federal,Onshore,AL,Baldwin,1003,EAST STATES,Other Revenues,Oil & Gas,Oil & Gas,,-874.16
