Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
12/1/2023,Federal,Not Tied to a Lease,,,,,Civil Penalties,,,,"$148,556.00"
12/1/2023,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,"$31,735.22"
12/1/2023,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,"$668,373.41"
12/1/2023,Federal,Offshore,,,,ATLANTIC OCS,Other Revenues,Wind,Wind,,"$659,585.80"
12/1/2023,Federal,Offshore,,,,ATLANTIC OCS,Rents,Wind,Wind,,"$816,630.00"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Bonus,Wind,Wind,,"$4,307,692.00"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flared Oil Well Gas,$17.48
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas,$0.00
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Pipeline Fuel/Loss,"$1,063.89"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$3,502.92"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Unprocessed Gas,"$2,731.03"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Vented Gas Well Gas,$0.03
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$2,382.61"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate,"$37,558.98"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate,-$5.58
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,$0.00
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,"-$28,213.77"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,"-$7,471,262.57"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,"$1,837,342.45"
12/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Rents,Wind,Wind,,"$307,440.00"
