Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
2/1/2021,Federal,Not Tied to a Lease,,,,,Civil Penalties,,,,"$271,927.08"
2/1/2021,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,"$21,661.89"
2/1/2021,Federal,Offshore,,,,ALASKA OCS,Other Revenues,Oil & Gas,Oil & Gas,,"$61,401.12"
2/1/2021,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,"$285,690.19"
2/1/2021,Federal,Offshore,,,,ATLANTIC OCS,Rents,Oil & Gas,Oil & Gas,,$60.00
2/1/2021,Federal,Offshore,,,,ATLANTIC OCS,Rents,Wind,Wind,,"$239,121.00"
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Bonus,Oil & Gas,Oil & Gas,,"$36,538,332.00"
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas,$0.00
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Gas Lost - Flared or Vented,$20.30
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Pipeline Fuel/Loss,$580.90
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$16,227.97"
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Unprocessed Gas,$601.15
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"-$6,565.37"
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate,"$280,378.22"
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate,-$80.45
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,$0.00
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,"-$54,990.33"
2/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,"$10,948,494.61"
