Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
2/1/2023,Federal,Not Tied to a Lease,,,,,Bonus,,,,"($10,680.00)"
2/1/2023,Federal,Not Tied to a Lease,,,,,Civil Penalties,,,,"$228,653.21 "
2/1/2023,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,"$18,930.62 "
2/1/2023,Federal,Not Tied to a Lease,,,,,Rents,,,,"($2,670.00)"
2/1/2023,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,"$421,969.43 "
2/1/2023,Federal,Offshore,,,,ATLANTIC OCS,Rents,Wind,Wind,,"$254,865.00 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas,$0.00 
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Gas Lost - Flared or Vented,$76.71 
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Pipeline Fuel/Loss,"$1,959.48 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$44,716.97 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Unprocessed Gas,($475.30)
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$5,435.03 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate,"$100,123.87 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate,$10.96 
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,$0.00 
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,"$869,900.88 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,"($11,164,321.09)"
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,"$2,221,500.00 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Flash Gas,"$141,846.18 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$25,541.54 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Pipeline Fuel/Loss,"$474,826.05 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$29,833,595.70 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Unprocessed Gas,"$4,279,987.10 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,NGL,Gas Plant Products,"$9,017,565.52 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Condensate,"$16,191,574.36 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$291,186.82 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Inlet Scrubber,"$263,758.00 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Oil,"$455,576,643.40 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,"$4,284.88 "
2/1/2023,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Sulfur,Sulfur,$147.38 
2/1/2023,Federal,Offshore,,,,PACIFIC OCS,Other Revenues,Oil & Gas,Oil & Gas,,"$87,254.58 "
2/1/2023,Federal,Offshore,,,,PACIFIC OCS,Rents,Oil & Gas,Oil & Gas,,$885.00 
2/1/2023,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Pipeline Fuel/Loss,"$3,723.52 "
2/1/2023,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Unprocessed Gas,"$640,789.03 "
2/1/2023,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Oil,"$528,149.28 "
2/1/2023,Federal,Offshore,,,,,Inspection Fees,,,,"$1,785,159.41 "
2/1/2023,Federal,Onshore,AK,Harrison Bay,02185,ALASKA,Other Revenues,Oil & Gas,Oil,Oil,"$241,659.98 "
2/1/2023,Federal,Onshore,AK,Harrison Bay,02185,ALASKA,Rents,Oil & Gas,Oil & Gas,,"$411,395.00 "
2/1/2023,Federal,Onshore,AK,Harrison Bay,02185,ALASKA,Royalties,Oil & Gas,Gas,Unprocessed Gas,"$1,278,297.97 "
2/1/2023,Federal,Onshore,AK,Harrison Bay,02185,ALASKA,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,"$150,816.38 "
2/1/2023,Federal,Onshore,AK,Harrison Bay,02185,ALASKA,Royalties,Oil & Gas,Oil,Oil,"$7,784,150.77 "
2/1/2023,Federal,Onshore,AK,Ikpikpuk Riv,02185,ALASKA,Rents,Oil & Gas,Oil & Gas,,"$549,534.00 "
2/1/2023,Federal,Onshore,AK,Kenai (Post),02122,ALASKA,Other Revenues,Oil & Gas,Oil & Gas,,"$11,868.43 "
2/1/2023,Federal,Onshore,AK,Kenai (Pre),02122,ALASKA,Royalties,Oil & Gas,Gas,Unprocessed Gas,"$646,739.14 "
2/1/2023,Federal,Onshore,AK,Kenai (Pre),02122,ALASKA,Royalties,Oil & Gas,NGL,Gas Plant Products,$191.79 
2/1/2023,Federal,Onshore,AK,Kenai (Pre),02122,ALASKA,Royalties,Oil & Gas,Oil,Oil,"$273,993.91 "
2/1/2023,Federal,Onshore,AK,Naknek,02185,ALASKA,Rents,Oil & Gas,Oil & Gas,,"$99,447.00 "
2/1/2023,Federal,Onshore,AK,Umiat,02185,ALASKA,Rents,Oil & Gas,Oil & Gas,,"$516,364.00 "
2/1/2023,Federal,Onshore,AL,Baldwin,01003,EAST STATES,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$1,240.73 "
2/1/2023,Federal,Onshore,AL,Baldwin,01003,EAST STATES,Royalties,Oil & Gas,Gas,Unprocessed Gas,$0.00 
2/1/2023,Federal,Onshore,AL,Baldwin,01003,EAST STATES,Royalties,Oil & Gas,NGL,Gas Plant Products,$76.30 
2/1/2023,Federal,Onshore,AL,Baldwin,01003,EAST STATES,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,$3.49 
2/1/2023,Federal,Onshore,AL,Baldwin,01003,EAST STATES,Royalties,Oil & Gas,Sulfur,Sulfur,$37.33 
2/1/2023,Federal,Onshore,AL,Covington,01039,EAST STATES,Rents,Oil & Gas,Oil & Gas,,$324.00 
2/1/2023,Federal,Onshore,AL,Escambia,01053,EAST STATES,Other Revenues,Oil & Gas,Oil & Gas,,$389.79 
2/1/2023,Federal,Onshore,AL,Escambia,01053,EAST STATES,Royalties,Oil & Gas,Oil,Oil,"$11,919.65 "
2/1/2023,Federal,Onshore,AL,Jefferson,01073,EAST STATES,Rents,Coal,Coal,,$483.00 
2/1/2023,Federal,Onshore,AL,Jefferson,01073,EAST STATES,Royalties,Coal,Coal,Coal,"$290,409.88 "
2/1/2023,Federal,Onshore,AL,Lamar,01075,EAST STATES,Royalties,Oil & Gas,Oil,Oil,$45.00 
2/1/2023,Federal,Onshore,AL,Mobile,01097,EAST STATES,Other Revenues,Oil & Gas,Oil & Gas,,$33.15 
2/1/2023,Federal,Onshore,AL,Mobile,01097,EAST STATES,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$5,778.64 "
