Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
5/1/2021,Federal,Not Tied to a Lease,,,,,Civil Penalties,,,,280459.71
5/1/2021,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,17090.21
5/1/2021,Federal,Offshore,,,,,Inspection Fees,,,,2415126.73
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,1478226.99
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,11634022
5/1/2021,Federal,Offshore,,,,,Rents,Oil & Gas,Oil & Gas,,675
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate,64995.36
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Condensate,17825392.83
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Condensate,9399.08
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate,18.64
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,189069.67
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas,0
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Flash Gas,86693.58
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Gas Lost - Flared or Vented,2.21
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,445.81
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,18.27
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,341.69
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,NGL,Gas Plant Products,12191551.29
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,NGL,Gas Plant Products,10536.21
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,-0.12
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Inlet Scrubber,423750.43
5/1/2021,Federal,Offshore,OG,Miss Canyon,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,-5618.45
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,-42827.23
5/1/2021,Federal,Offshore,OG,Miss Canyon,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Oil,-73207.29
5/1/2021,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,355709.8
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Oil,261979406
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil,Oil,5502326.55
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,-875369.51
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,2663099
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Oil & Gas,Other,-574088.96
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Other Liquid Hydrocarbons,2917.7
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Pipeline Fuel/Loss,631.48
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Pipeline Fuel/Loss,19552.29
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Pipeline Fuel/Loss,2253.33
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,11855.19
5/1/2021,Federal,Offshore,OG,Miss Canyon,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,-11301.63
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,15201406.74
5/1/2021,Federal,Offshore,,,,PACIFIC OCS,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,12847.21
5/1/2021,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Sulfur,Sulfur,71.19
