Accept Date,Land Class Code,Land Category Code Desc,State,County Code Desc,FIPS Code,Agency State Region Code Desc,Revenue Type,Mineral Production Code Desc,Commodity,Product Code Desc,Revenue
11/1/2020,Federal,Not Tied to a Lease,,,,,Civil Penalties,,,,"$128,381.72"
11/1/2020,Federal,Not Tied to a Lease,,,,,Other Revenues,,,,"$26,687.09"
11/1/2020,Federal,Offshore,,,,ALASKA OCS,Rents,Oil & Gas,Oil & Gas,,"$180,060.00"
11/1/2020,Federal,Offshore,,,,ALASKA OCS,Royalties,Oil & Gas,Oil,Oil,"$202,291.53"
11/1/2020,Federal,Offshore,,,,ATLANTIC OCS,Rents,Wind,Wind,,"$201,756.00"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Flash Gas,$0.00
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Gas Lost - Flared or Vented,$17.33
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Pipeline Fuel/Loss,$660.80
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$7,993.39"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Gas,Unprocessed Gas,$152.53
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$1,311.64"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Condensate,"$11,127.27"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Drip or Scrubber Condensate,$7.06
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,$0.00
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil,Oil,"$287,992.81"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,"-$3,877,626.49"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Other Revenues,Oil & Gas,Oil & Gas,,"$697,842.39"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,"$1,862,536.00"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Rents,Oil & Gas,Oil & Gas,,"$9,179,771.00"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Flash Gas,"$37,144.58"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$2,362.91"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Pipeline Fuel/Loss,"$107,247.97"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$5,460,655.64"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Gas,Unprocessed Gas,"$743,351.22"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,NGL,Gas Plant Products,"$3,038,911.14"
11/1/2020,Federal,Offshore,,,,GULF OF MEXICO,Royalties,Oil & Gas,Oil,Condensate,"-$2,404,295.83"
