Calendar Year,Land Class,Land Category,State/Offshore Region,Revenue Type,Commodity,Sales Volume,Gas MMBtu Volume,Sales Value,Royalty Value Prior to Allow,Transportation Allow,Processing Allow,Royalty Value Less Allow,Effective Royalty Rate
2013,Federal,Offshore,Alaska OCS,Royalties,Oil,"354,736.48",0.00,"$37,418,413.98","$6,236,061.32","-$484,896.14",$0.00,"$5,751,165.18",15.37%
2013,Federal,Offshore,Gulf of Mexico,Royalties,Gas,"1,127,536,490.05","1,181,503,903.93","$4,281,766,741.72","$523,278,862.03","-$39,906,322.64","-$23,789.11","$483,348,750.28",11.29%
2013,Federal,Offshore,Gulf of Mexico,Royalties,NGL,"1,909,153,300.27",0.00,"$1,698,699,729.69","$195,094,300.18","-$10,765,831.94","-$25,013,897.68","$159,314,570.56",9.38%
2013,Federal,Offshore,Gulf of Mexico,Royalties,Oil,"447,555,808.97",0.00,"$46,735,381,930.78","$5,165,009,902.47","-$88,138,804.89",$0.00,"$5,076,871,097.58",10.86%
2013,Federal,Offshore,Pacific,Royalties,Gas,"12,864,657.30","14,284,261.43","$53,450,439.23","$8,832,089.62","-$1,598,793.47",$0.00,"$7,233,296.15",13.53%
2013,Federal,Offshore,Pacific,Royalties,NGL,"5,131,381.27",0.00,"$7,720,626.67","$1,282,124.87","-$11,799.70","-$522,864.77","$747,460.40",9.68%
2013,Federal,Offshore,Pacific,Royalties,Oil,"18,668,910.97",0.00,"$1,720,871,769.95","$295,930,962.82","-$9,009,452.43",$0.00,"$286,921,510.39",16.67%
2013,Federal,Onshore,Alabama,Royalties,Gas,"497,243.78","495,649.21","$1,835,896.56","$229,941.77","-$16,079.92",$0.00,"$213,861.85",11.65%
2013,Federal,Onshore,Alabama,Royalties,NGL,"79,397.82",0.00,"$38,913.24","$5,034.70",-$689.57,-$559.18,"$3,785.95",9.73%
2013,Federal,Onshore,Alabama,Royalties,Oil,"22,851.91",0.00,"$2,358,221.20","$294,786.46",-$1.32,$0.00,"$294,785.14",12.50%
2013,Federal,Onshore,Alaska,Royalties,Gas,"11,543,944.77","11,652,763.48","$60,419,558.20","$7,552,474.78","-$5,155.82",$0.00,"$7,547,318.96",12.49%
2013,Federal,Onshore,Alaska,Royalties,Oil,"599,262.00",0.00,"$62,421,653.50","$7,809,649.01","-$19,471.22",$0.00,"$7,790,177.79",12.48%
2013,Federal,Onshore,Arkansas,Royalties,Gas,"11,516,283.86","11,489,652.84","$39,627,854.89","$5,029,993.04","-$22,556.01",$0.00,"$5,007,437.03",12.64%
2013,Federal,Onshore,Arkansas,Royalties,Oil,1.31,0.00,$125.09,$15.64,$0.00,$0.00,$15.64,12.50%
