Date,Calendar Year,Corporate Name,Revenue Agency Type,Revenue Agency,Revenue Type,Commodity,Revenue
01/01/2013,2013,BLEDSOE COAL,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,8592.00
01/01/2014,2014,GCC ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Coal,0.00
01/01/2014,2014,MONCRIEF OIL,ONRR - Royalties,ONRR,Royalties,Oil,7869.34
01/01/2015,2015,TARPON,ONRR - Other Revenues,ONRR,Other Revenues,N/A,862.73
01/01/2016,2016,ENCANA CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,729.00
01/01/2017,2017,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,3061.82
01/01/2018,2018,VENOCO LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,960.00
01/01/2019,2019,BNI COAL LTD,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,5643.00
01/01/2013,2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,ONRR,Royalties,Oil,935018.79
01/01/2013,2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,ONRR,Royalties,Gas,55520.80
01/01/2013,2013,70 & 148 LLC,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,1870.00
01/01/2013,2013,70 & 148 LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,310220.00
01/01/2013,2013,ABRAXAS PETROLEUM CORP,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,290.00
01/01/2013,2013,ABRAXAS PETROLEUM CORP,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,18631.60
01/01/2013,2013,ABRAXAS PETROLEUM CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,3954.50
01/01/2013,2013,ADVENTURE EXPLORATION PARTNERS II LLC,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,6755.00
01/01/2013,2013,ADVENTURE EXPLORATION PARTNERS II LLC,ONRR/BLM - Bonus,ONRR/BLM,Bonus,Oil & Gas,2556000.00
