Date,Fund Type,Local Recipient,Recipient,Source,Land Category,State,County,FIPS Code,Revenue Type,Disbursement
10/01/2018,Lease Process Improvement (BLM),"",Other funds,Onshore,Onshore,"","","",Rents & Bonuses,10
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,8762.34
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,16071044.88
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Rents & Bonuses,193462.77
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,13861356.16
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,188688.36
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,1389858.22
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Rents & Bonuses,238553.55
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,802931.57
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,642.44
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,14721825.37
10/01/2018,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,-28.42
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,-137394.24
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,77205.61
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,1521187.16
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,2.22
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,2590846.10
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,90007.84
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,60
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Rents & Bonuses,10
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,1012.23
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,803838.37
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Rents & Bonuses,101238.79
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,8862.18
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,1744209.07
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,2361.50
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Rents & Bonuses,-2361.50
10/01/2018,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,14865.22
10/01/2018,State,State,State and local governments,Onshore,Onshore,West Virginia,"","",Other Distributions,2677.58
10/01/2018,State,State,State and local governments,Onshore,Onshore,West Virginia,"","",Other Distributions,84.08
10/01/2018,State,State,State and local governments,Onshore,Onshore,West Virginia,"","",Sequestration,-276.53
10/01/2018,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Sequestration,-8092.92
10/01/2018,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Other Distributions,129734.43
10/01/2018,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Royalties,683.94
10/01/2018,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Rents & Bonuses,112.5
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Royalties,528710.02
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Rents & Bonuses,604333.24
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Other Distributions,150106.01
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Other Distributions,2192.97
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Royalties,474091.62
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Rents & Bonuses,0
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Other Distributions,1775.66
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Royalties,-18063.07
10/01/2018,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Sequestration,473687.74
10/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Sequestration,1534.92
10/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Royalties,784.74
10/01/2018,State,County,State and local governments,Onshore,Onshore,New Mexico,Hidalgo,"35023",Royalties,438.53
10/01/2018,State,County,State and local governments,Onshore,Onshore,New Mexico,Hidalgo,"35023",Rents & Bonuses,-98.65
10/01/2018,State,County,State and local governments,Onshore,Onshore,New Mexico,Dona Ana,"35013",Rents & Bonuses,350
10/01/2018,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Royalties,8182.05
10/01/2018,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Rents & Bonuses,2364.30
10/01/2018,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Other Distributions,-3466.96
