Date,Land Class,Land Category,Commodity,Volume
01/01/2003,Native American,Onshore,Coal Prod Vol (tons),2400984
01/01/2003,Native American,Onshore,Oil Prod Vol (bbl),999840
01/01/2003,Native American,Onshore,Gas Prod Vol (mcf),33558894
01/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8410708
01/01/2003,Federal,Onshore,Gas Prod Vol (mcf),253570099
01/01/2003,Federal,Onshore,Coal Prod Vol (tons),37822686
01/01/2003,Federal,Offshore,Oil Prod Vol (bbl),51902064
01/01/2003,Federal,Offshore,Gas Prod Vol (mcf),388912405
02/01/2003,Federal,Offshore,Gas Prod Vol (mcf),357135900
02/01/2003,Federal,Onshore,Coal Prod Vol (tons),33743641
02/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7493581
02/01/2003,Native American,Onshore,Coal Prod Vol (tons),2329191
02/01/2003,Native American,Onshore,Oil Prod Vol (bbl),898897
02/01/2003,Native American,Onshore,Gas Prod Vol (mcf),29709696
02/01/2003,Federal,Onshore,Gas Prod Vol (mcf),233888260
02/01/2003,Federal,Offshore,Oil Prod Vol (bbl),47525866
03/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32568168
03/01/2003,Native American,Onshore,Coal Prod Vol (tons),2144013
03/01/2003,Native American,Onshore,Oil Prod Vol (bbl),963003
03/01/2003,Federal,Offshore,Gas Prod Vol (mcf),403710487
03/01/2003,Federal,Offshore,Oil Prod Vol (bbl),52454393
03/01/2003,Federal,Onshore,Gas Prod Vol (mcf),256897770
03/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8337346
03/01/2003,Federal,Onshore,Coal Prod Vol (tons),34916953
04/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7928603
04/01/2003,Federal,Onshore,Coal Prod Vol (tons),35430343
04/01/2003,Native American,Onshore,Gas Prod Vol (mcf),30727963
04/01/2003,Federal,Offshore,Gas Prod Vol (mcf),392131061
04/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49827275
04/01/2003,Native American,Onshore,Oil Prod Vol (bbl),935474
04/01/2003,Native American,Onshore,Coal Prod Vol (tons),2526695
04/01/2003,Federal,Onshore,Gas Prod Vol (mcf),242692369
05/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31517001
05/01/2003,Native American,Onshore,Oil Prod Vol (bbl),949557
05/01/2003,Native American,Onshore,Coal Prod Vol (tons),2860051
05/01/2003,Federal,Offshore,Gas Prod Vol (mcf),396856114
05/01/2003,Federal,Onshore,Gas Prod Vol (mcf),237888717
05/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8245098
05/01/2003,Federal,Onshore,Coal Prod Vol (tons),36677762
05/01/2003,Federal,Offshore,Oil Prod Vol (bbl),50379253
06/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49264615
06/01/2003,Federal,Onshore,Coal Prod Vol (tons),37340028
06/01/2003,Native American,Onshore,Coal Prod Vol (tons),2417336
06/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31016504
06/01/2003,Native American,Onshore,Oil Prod Vol (bbl),899813
06/01/2003,Federal,Onshore,Gas Prod Vol (mcf),236642042
06/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7935881
06/01/2003,Federal,Offshore,Gas Prod Vol (mcf),374519636
07/01/2003,Federal,Onshore,Coal Prod Vol (tons),37367365
07/01/2003,Federal,Offshore,Oil Prod Vol (bbl),48285432
07/01/2003,Native American,Onshore,Coal Prod Vol (tons),2532307
07/01/2003,Native American,Onshore,Oil Prod Vol (bbl),921923
07/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31814176
07/01/2003,Federal,Offshore,Gas Prod Vol (mcf),366434604
07/01/2003,Federal,Onshore,Gas Prod Vol (mcf),244493439
07/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8194238
08/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32131050
08/01/2003,Federal,Offshore,Gas Prod Vol (mcf),379201872
08/01/2003,Federal,Offshore,Oil Prod Vol (bbl),50849036
08/01/2003,Federal,Onshore,Gas Prod Vol (mcf),247525199
08/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8188606
08/01/2003,Federal,Onshore,Coal Prod Vol (tons),38954190
08/01/2003,Native American,Onshore,Coal Prod Vol (tons),2622021
08/01/2003,Native American,Onshore,Oil Prod Vol (bbl),902533
09/01/2003,Native American,Onshore,Coal Prod Vol (tons),3153896
09/01/2003,Native American,Onshore,Oil Prod Vol (bbl),883161
09/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31014736
09/01/2003,Federal,Onshore,Coal Prod Vol (tons),36506801
09/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7981715
09/01/2003,Federal,Onshore,Gas Prod Vol (mcf),247470015
09/01/2003,Federal,Offshore,Oil Prod Vol (bbl),48435021
09/01/2003,Federal,Offshore,Gas Prod Vol (mcf),359224212
10/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32047547
10/01/2003,Federal,Onshore,Gas Prod Vol (mcf),269682230
10/01/2003,Native American,Onshore,Coal Prod Vol (tons),2576086
10/01/2003,Native American,Onshore,Oil Prod Vol (bbl),927732
10/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8222208
10/01/2003,Federal,Offshore,Gas Prod Vol (mcf),371153619
10/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49979034
10/01/2003,Federal,Onshore,Coal Prod Vol (tons),37838612
11/01/2003,Federal,Offshore,Oil Prod Vol (bbl),47184399
11/01/2003,Native American,Onshore,Gas Prod Vol (mcf),30634783
11/01/2003,Native American,Onshore,Oil Prod Vol (bbl),889344
11/01/2003,Native American,Onshore,Coal Prod Vol (tons),2417148
11/01/2003,Federal,Offshore,Gas Prod Vol (mcf),349032281
11/01/2003,Federal,Onshore,Gas Prod Vol (mcf),255059359
11/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7856083
11/01/2003,Federal,Onshore,Coal Prod Vol (tons),36994823
12/01/2003,Federal,Onshore,Gas Prod Vol (mcf),266959859
12/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8118969
12/01/2003,Federal,Onshore,Coal Prod Vol (tons),38913508
12/01/2003,Native American,Onshore,Coal Prod Vol (tons),2526153
12/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49253004
12/01/2003,Federal,Offshore,Gas Prod Vol (mcf),362758331
12/01/2003,Native American,Onshore,Oil Prod Vol (bbl),936588
12/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31241002
01/01/2004,Native American,Onshore,Coal Prod Vol (tons),2790396
01/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30639762
01/01/2004,Federal,Offshore,Gas Prod Vol (mcf),365448070
01/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50125549
01/01/2004,Federal,Onshore,Coal Prod Vol (tons),39793156
